State,Items Description,All,NIC-01,NIC-08,NIC-10,NIC-11,NIC-12,NIC-13,NIC-14,NIC-15,NIC-16,NIC-17,NIC-18,NIC-19,NIC-20,NIC-21,NIC-22,NIC-23,NIC-24,NIC-25,NIC-26,NIC-27,NIC-28,NIC-29,NIC-30,NIC-31,NIC-32,NIC-33,NIC-38,NIC-58,Other
Chandigarh,5. Working Capital,42108,NA,NA,1496,1724,NA,NA,NA,NA,84,480,541,NA,NA,NA,209,621,89,1961,2616,1700,8715,543,6478,178,NA,NA,NA,NA,14673
Chandigarh,6. Invested Capital,135804,NA,NA,3456,3795,NA,NA,NA,NA,104,2023,577,NA,NA,NA,361,3576,19508,5558,3506,1871,31300,909,5698,215,NA,NA,NA,NA,53347
Chandigarh,7. Gross Value of Addition to Fixed Capital,16303,NA,NA,520,246,NA,NA,NA,NA,0,1203,80,NA,NA,NA,22,14,7011,737,159,145,3319,96,460,6,NA,NA,NA,NA,2286
Chandigarh,8. Rent Paid for Fixed Assets,1777,NA,NA,12,110,NA,NA,NA,NA,2,68,43,NA,NA,NA,13,14,58,44,36,10,116,41,162,1,NA,NA,NA,NA,1047
Chandigarh,9. Outstanding Loan,44582,NA,NA,1389,1598,NA,NA,NA,NA,24,1244,182,NA,NA,NA,185,346,325,951,958,835,6104,321,3644,64,NA,NA,NA,NA,26411
Chandigarh,10. Interest Paid,7980,NA,NA,215,425,NA,NA,NA,NA,6,192,14,NA,NA,NA,29,167,379,223,12,160,646,73,365,7,NA,NA,NA,NA,5068
Chandigarh,11. Rent Received for Fixed Assets,733,NA,NA,12,154,NA,NA,NA,NA,0,0,2,NA,NA,NA,0,2,73,0,12,7,18,135,288,3,NA,NA,NA,NA,27
Chandigarh,12. Interest Received,1870,NA,NA,8,30,NA,NA,NA,NA,0,9,1,NA,NA,NA,1,8,19,66,24,46,145,0,20,0,NA,NA,NA,NA,1493
Chandigarh,13. Gross Value of Plant & Machinary,55336,NA,NA,2922,344,NA,NA,NA,NA,0,1261,360,NA,NA,NA,0,1380,9503,1257,419,67,33270,0,809,0,NA,NA,NA,NA,3743
Chandigarh,14. Value of Product and By-Product,177990,NA,NA,19611,6865,NA,NA,NA,NA,265,1769,955,NA,NA,NA,989,4108,45201,11230,7611,7615,33497,4213,17577,351,NA,NA,NA,NA,16134
