State_UT,Year,"Agriculture, forestry and fishing",Crops,Livestock,Forestry and logging,Fishing and aquaculture,Mining and quarrying,Primary,Manufacturing,"Electricity, gas, water supply & other utility services",Construction,Secondary,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Road transport,Water transport,Air transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwelling & professional services",Public administration,Other services,Tertiary,TOTAL GSVA at basic prices,Taxes on Products,Subsidies on products,Gross State Domestic Product,Population ('00),Per Capita GSDP (Rs.)
Andaman & Nicobar Islands,2011-12,59736.99301,26564.66046,13672.78475,4043.848308,15455.69949,2867.168317,62604.16133,6333.782923,15924.13755,53695.09916,75953.01963,33936.69182,31581.20328,2355.488538,46482.01329,NA,14799.88145,6654.088885,2143.075823,18357.31275,24.865,4502.789372,12774.45279,32303.74734,74782.81952,64942.0088,265221.7336,403778.9145,4416,10328,397866.9145,3860,103074
Tamil Nadu,2011-12,8773221,5375639,2617944,355528,424110,326843,9100064,15176801,795604,9247221,25219626,7930219,6893400,1036819,5337904,316026,2866546,66379,43317,822307,26961,1196369,4019599,10253371,2598408,4842953,34982454,69302145,8455881,2609517,75148509,725370,103600
Tamil Nadu,2012-13,7819910,4219389,2825041,347170,428311,291902,8111812,17007020,805421,9271146,27083588,8693122,7628750,1064373,5709312,353342,3071483,57869,74569,879938,26509,1245601,4377496,10975858,2349570,5017597,37122955,72318355,9252210,2779827,78790738,732110,107621
Tamil Nadu,2013-14,9168957,5055870,3338169,342909,432009,284248,9453205,16796887,841021,10060010,27697918,9296979,8170037,1126942,6012213,373039,3202688,53011,55991,836001,28834,1462648,4657539,12065312,2507757,5384997,39924796,77075920,9488096,2345822,84218194,738900,113978
Tamil Nadu,2014-15,9965253,5370633,3802479,324971,467170,231198,10196451,17094248,858989,10393086,28346323,9952135,8686531,1265604,6296403,400159,3224979,61684,158416,757237,33022,1660906,5119282,13475948,2730924,5784770,43359463,81902236,10478138,2317584,90062790,745760,120766
Tamil Nadu,2015-16,9817876,5182481,3832600,319254,483542,217786,10035662,18310096,835460,11268440,30413996,10615582,9180868,1434714,6966490,431099,3392028,73546,297601,858838,39171,1874207,5646568,15230494,2833271,6485555,47777961,88227620,12164519,2410523,97981616,752690,130175
Tamil Nadu,2016-17,9529065,4762813,3935510,309347,521395,242403,9771467,18611816,853417,12142136,31607368,11827009,10137944,1689066,7507350,459776,3448892,86085,421603,953702,46607,2090685,6218957,16927136,3345290,7434370,53260112,94638948,13307579,2187288,105759239,759680,139216
Telengana,2011-12,5461488,3236819,1884801,191725,148143,1106109,6567597,6215158,783505,2278975,9277638,3747813,3048685,699128,2531735,161363,1461278,0,23258,371763,17531,496542,2126507,5551356,1131292,2670927,17759630,33604865,3281100,942700,35943265,356820,100732
Telengana,2012-13,5943360,3554097,2035097,190565,163601,1154111,7097471,5298254,533205,2314347,8145806,4026649,3296692,729957,2791360,167525,1598221,0,40372,453180,13888,518174,2332137,6260616,1152272,2698950,19261984,34505261,3420900,997200,36928961,360400,102467
Telengana,2013-14,6178978,3723256,2082712,185807,187203,1127788,7306766,5289860,742870,2136705,8169435,4357584,3788142,569442,2899020,179226,1687122,0,30551,396418,14568,591135,2567920,6988082,1212019,2921308,20945933,36422134,3518300,952200,38988234,364010,107108
Telengana,2014-15,5590964,2955512,2251636,180754,203062,1390770,6981734,5725215,603535,2483549,8812299,5276515,4651943,624572,3173144,172947,1819232,0,106034,399667,16147,659117,2890978,7675111,1379260,3207945,23602953,39396986,3699600,699400,42397186,367660,115316
